,data,label
193,"[2, 24, 89, 12, 260, 17, 176, 2348, 0, 1554, 466, 296]",3
194,"[2, 24, 89, 12, 260, 5, 17, 176, 2348, 0, 1554, 466, 296]",0
195,"[2, 24, 89, 12, 260, 5, 502, 191, 0, 527, 3083, 17, 176, 2348, 0, 1554, 466, 296]",3
196,"[2, 24, 4, 568, 1, 3084, 0, 468, 71, 569, 4, 192, 4634, 1, 78, 130, 29, 745, 45, 1, 4635]",3
197,"[2, 24, 14, 1018, 0, 3078, 14, 209, 3, 214, 5, 802]",0
198,"[2, 24, 14, 1018, 0, 1331, 14, 1160, 1, 3, 346, 154, 14, 802]",0
199,"[2, 24, 14, 1018, 0, 1331, 5, 5, 14, 259, 286, 895, 113]",0
200,"[2, 24, 14, 1333, 0, 24, 147, 4, 117, 1, 190, 14, 17, 2349]",0
201,"[2, 24, 14, 1333, 0, 24, 89, 4, 117, 142, 14, 17, 179, 177]",0
202,"[2, 528, 12, 4636, 0, 24, 567, 4, 72, 3, 38, 5, 17, 3085, 0, 1023]",0
203,"[2, 3086, 7, 1544, 0, 24, 3082, 7, 4637]",3
204,"[2, 3086, 14, 1544, 0, 24, 7, 1895, 4638]",0
205,"[2, 24, 1161, 14, 1333, 0, 1334, 89, 14, 160, 17, 74, 59, 1555]",3
206,"[2, 24, 1161, 14, 1333, 0, 1334, 89, 14, 160, 5, 17, 74, 59, 1555]",0
207,"[2, 24, 1161, 14, 1333, 0, 1334, 89, 14, 160, 5, 207, 0, 3087, 1896, 17, 74, 59, 1555]",3
208,"[2, 24, 1161, 14, 1333, 0, 1334, 89, 14, 160, 207, 0, 3087, 1896, 17, 74, 59, 1555]",3
209,"[2, 24, 89, 5, 1897, 0, 1556, 5, 26, 802]",3
210,"[2, 24, 89, 5, 1897, 0, 1556, 26, 802]",3
211,"[2, 24, 89, 12, 179, 674, 1024, 0, 24, 89, 5, 212, 427]",3
212,"[2, 24, 89, 5, 12, 179, 674, 1024, 0, 24, 89, 5, 212, 427]",3
213,"[2, 24, 89, 1897, 0, 1556, 5, 26, 802]",3
214,"[2, 24, 89, 1897, 0, 1556, 26, 802]",3
215,"[2, 24, 89, 5, 12, 179, 674, 1024, 0, 24, 89, 212, 427]",3
216,"[2, 24, 213, 8, 7, 5, 14, 1335, 0, 24, 3088, 14, 1557]",0
217,"[2, 24, 213, 8, 95, 5, 7, 1335, 0, 24, 3088, 14, 1557]",3
218,"[2, 38, 5, 245, 15, 0, 896, 10, 58, 803]",3
219,"[2, 38, 245, 15, 0, 896, 10, 58, 803]",0
220,"[2, 24, 89, 178, 23, 136, 2336, 894, 1024, 0, 1554, 62, 57, 1332]",0
221,"[2, 1558, 26, 1544, 0, 24, 89, 178, 23, 136, 2336, 894, 177]",0
222,"[1898, 20, 1162, 164, 428, 45, 57, 0, 897]",3
223,"[1898, 20, 1162, 164, 428, 45, 87, 897]",3
224,"[1898, 20, 1162, 164, 428, 45, 1336, 897]",3
225,"[1898, 20, 1162, 164, 428, 45, 3, 364, 897]",3
226,"[2350, 898, 1025, 116, 225, 57, 0, 2351]",3
227,"[2350, 898, 1025, 116, 225, 87, 2351]",3
228,"[2350, 898, 1025, 116, 225, 1336, 2351]",3
229,"[116, 225, 57, 0, 4639, 0, 24, 297, 898, 103]",3
230,"[284, 20, 1162, 57, 0, 24, 161, 164, 899, 77]",3
231,"[284, 20, 1162, 87, 24, 161, 164, 899, 77]",0
232,"[284, 20, 1162, 57, 0, 24, 164, 428, 77]",0
233,"[900, 87, 21, 12, 85, 5, 178, 2352]",3
234,"[900, 3089, 21, 12, 383, 5, 178, 2352]",3
235,"[900, 619, 3, 206, 21, 12, 176, 5, 178, 2352]",3
236,"[4, 72, 208, 87, 12, 1559]",3
237,"[4, 72, 208, 3089, 12, 2353]",3
238,"[4, 72, 208, 619, 3, 206, 12, 1026]",3
239,"[32, 96, 105, 87, 5, 14, 112, 427]",3
240,"[900, 87, 21, 14, 85, 5, 14, 112, 427]",3
241,"[2, 24, 12, 362, 0, 24, 12, 798]",3
242,"[108, 85, 0, 888, 0, 24, 12, 798]",0
243,"[2, 24, 12, 362, 12, 146, 0, 897]",0
244,"[4, 117, 12, 96, 208, 804]",0
245,"[4, 117, 1, 208, 131, 89, 20, 4640]",3
246,"[2, 1163, 14, 29, 1, 3090, 0, 799, 7, 802]",3
247,"[249, 14, 29, 1, 3090, 7, 259, 500]",3
248,"[32, 259, 3091, 0, 1163, 7, 29, 1, 3092]",0
249,"[32, 259, 738, 90, 7, 29, 1, 3092]",0
250,"[2, 24, 5, 213, 8, 45, 470, 11, 0, 901, 0, 24, 2354, 7, 1557]",3
251,"[2, 24, 213, 8, 95, 5, 470, 11, 0, 901, 0, 24, 2354, 7, 1557]",3
252,"[2, 24, 5, 213, 8, 95, 470, 11, 0, 901, 0, 24, 2354, 7, 1557]",3
253,"[2, 24, 213, 8, 45, 470, 11, 0, 901, 0, 24, 169, 7, 6, 1, 212, 1899]",3
254,"[2, 24, 213, 8, 95, 470, 11, 0, 901, 0, 24, 169, 7, 6, 1, 212, 1899]",0
255,"[2, 24, 5, 213, 8, 45, 470, 11, 0, 901, 0, 24, 169, 7, 6, 1, 212, 1899]",3
256,"[2, 24, 5, 213, 8, 95, 470, 11, 0, 901, 0, 24, 169, 7, 6, 1, 212, 1899]",0
257,"[2, 24, 5, 7, 259, 805, 28, 2355, 0, 24, 5, 1900, 71, 45, 287, 1, 527, 60, 11, 0, 902]",3
258,"[2, 24, 5, 7, 259, 805, 28, 2355, 0, 24, 5, 1900, 71, 95, 287, 1, 527, 60, 11, 0, 902]",0
259,"[7, 6, 24, 1901, 0, 24, 213, 8, 45, 470, 11, 0, 902]",3
260,"[7, 6, 24, 1901, 0, 24, 213, 8, 45, 5, 470, 11, 0, 902]",3
261,"[7, 6, 24, 1901, 0, 24, 213, 8, 95, 470, 11, 0, 902]",3
262,"[7, 6, 24, 1901, 0, 24, 213, 8, 95, 5, 470, 11, 0, 902]",3
263,"[3093, 71, 45, 287, 1, 527, 60, 24, 15, 0, 1902, 901, 0, 24, 5, 7, 259, 805, 28, 336]",3
264,"[3093, 71, 95, 287, 1, 527, 60, 24, 15, 0, 1902, 901, 0, 24, 5, 7, 259, 805, 28, 336]",0
265,"[249, 12, 179, 45, 170, 3094, 92, 298, 17, 1560, 1, 806]",3
266,"[108, 179, 45, 170, 1164, 9, 92, 298, 17, 1560, 1, 806]",3
267,"[43, 61, 45, 170, 1164, 1561, 807, 2356, 92, 298, 2357, 1, 806]",0
268,"[249, 12, 179, 55, 298, 170, 3094, 14, 17, 1560, 1, 806]",3
269,"[108, 179, 55, 298, 170, 1164, 9, 14, 17, 1560, 1, 806]",3
270,"[108, 179, 92, 298, 170, 1164, 9, 14, 17, 1560, 1, 806]",0
271,"[43, 61, 55, 298, 170, 1164, 1561, 807, 2356, 14, 2357, 1, 806]",0
272,"[43, 61, 92, 298, 170, 1164, 1561, 807, 2356, 14, 2357, 1, 806]",0
273,"[2, 24, 1337, 14, 570, 1024, 0, 24, 4641, 92, 298, 111, 1, 4642]",3
274,"[2, 24, 1337, 3095, 9, 4643, 2346, 0, 24, 92, 298, 6, 4644, 1, 806]",3
275,"[2, 24, 198, 5, 92, 298, 3096, 19, 4645, 0, 24, 169, 14, 4646, 1, 806]",0
276,"[137, 298, 3097, 24, 746, 0, 24, 1337, 14, 570, 177]",3
277,"[226, 298, 3097, 24, 746, 0, 24, 1337, 14, 570, 177]",3
278,"[32, 111, 1, 361, 24, 746, 0, 24, 1337, 55, 298, 570, 177]",0
279,"[32, 111, 1, 361, 24, 746, 0, 24, 1337, 92, 298, 570, 177]",0
280,"[137, 298, 111, 1, 361, 24, 746, 90, 14, 570, 1, 24, 1165]",3
281,"[226, 298, 111, 1, 361, 24, 746, 90, 14, 570, 1, 24, 1165]",3
282,"[226, 298, 111, 1, 361, 24, 746, 40, 14, 570, 1, 24, 1165]",3
283,"[32, 111, 1, 361, 24, 746, 90, 55, 298, 570, 1, 24, 1165]",0
284,"[32, 111, 1, 361, 24, 746, 90, 92, 298, 570, 1, 24, 1165]",0
285,"[32, 111, 1, 361, 24, 746, 40, 92, 298, 570, 1, 24, 1165]",0
286,"[32, 111, 1, 361, 24, 746, 40, 55, 298, 570, 1, 24, 1165]",0
287,"[2, 528, 12, 471, 49, 1338, 0, 24, 472, 441, 747, 0, 529, 60, 27, 473, 1562]",3
288,"[54, 6, 0, 2358, 8, 218, 31, 0, 528, 12, 471, 0, 24, 472, 441, 747, 0, 529, 60, 27, 473, 1562]",3
289,"[2, 529, 60, 27, 473, 1166, 39, 0, 2358, 8, 89, 23, 0, 528, 12, 471, 49, 1338, 0, 24, 472, 441, 3098]",3
290,"[54, 1338, 0, 528, 12, 471, 0, 24, 472, 441, 747, 0, 529, 60, 27, 473, 1562]",3
291,"[56, 21, 12, 179, 213, 8, 1, 333, 1339]",3
292,"[35, 6, 49, 218, 5, 0, 528, 12, 471, 0, 24, 472, 441, 747, 0, 529, 60, 27, 473, 1562]",3
293,"[35, 6, 0, 529, 60, 27, 473, 1166, 23, 0, 528, 12, 471, 49, 1338, 0, 24, 472, 441, 3098]",0
294,"[83, 218, 0, 528, 12, 1903, 17, 0, 24, 472, 12, 747, 0, 529, 60, 27, 473, 2359]",0
295,"[83, 218, 161, 0, 528, 5, 12, 1903, 0, 24, 472, 441, 747, 0, 529, 60, 27, 473, 2359]",0
296,"[83, 218, 0, 528, 5, 12, 1903, 17, 0, 24, 472, 12, 747, 0, 529, 60, 27, 473, 2359]",0
297,"[2, 800, 26, 1328, 0, 381, 23, 4647]",0
298,"[2, 1556, 23, 4648, 0, 799, 12, 3099]",0
299,"[2, 800, 5, 26, 1328, 208, 87, 381, 3, 741, 50, 12, 197, 11, 0, 742]",3
300,"[36, 903, 1, 429, 53, 31, 218, 0, 528, 4, 1903, 0, 2360, 0, 529, 60, 27, 473, 1562]",3
301,"[4, 1904, 474, 60, 170, 4649, 1, 426, 31, 89, 60, 27, 473, 1166, 0, 528, 4, 471, 49, 1338, 0, 2360, 466, 212, 740, 904]",0
302,"[83, 529, 60, 27, 473, 1166, 50, 12, 78, 5, 0, 528, 12, 471, 49, 1338, 0, 2360, 441, 13, 475, 1, 429, 4650, 1, 1905, 4651]",0
303,"[54, 6, 3, 218, 5, 441, 13, 475, 1, 429, 0, 529, 60, 27, 473, 1166, 1, 1905, 233, 90, 12, 1906]",0
304,"[54, 6, 3, 218, 5, 441, 13, 475, 1, 429, 0, 529, 60, 27, 473, 1166, 1, 1905, 233, 90, 12, 471, 102]",3
305,"[54, 6, 3, 218, 5, 12, 471, 26, 9, 441, 13, 475, 1, 429, 0, 529, 60, 27, 473, 1166, 1, 1905, 905]",0
306,"[675, 39, 0, 529, 5, 12, 199, 471, 49, 218, 9, 441, 13, 475, 1, 47, 221, 15, 1563]",0
307,"[36, 903, 1, 429, 53, 31, 218, 466, 906, 0, 3100, 24, 3101, 0, 528, 4, 1906]",0
308,"[54, 6, 0, 218, 5, 441, 906, 0, 3100, 24, 3101, 0, 528, 12, 1906]",0
309,"[7, 69, 0, 38, 11, 0, 523]",3
310,"[83, 311, 21, 7, 197, 0, 38, 2361]",3
311,"[56, 21, 7, 78, 5, 20, 347, 5, 18, 1564, 5, 907, 4652]",3
312,"[7, 100, 30, 908, 1340]",3
313,"[52, 7, 100, 50, 6, 30, 908, 1340]",3
314,"[7, 1027, 908, 1340]",3
315,"[571, 21, 7, 3102]",3
316,"[4, 118, 0, 185]",3
317,"[108, 118, 0, 185]",3
318,"[32, 118, 0, 185]",0
319,"[68, 118, 0, 185]",0
320,"[36, 118, 0, 185]",3
321,"[4653, 30, 4, 3103]",0
322,"[4, 192, 30, 1907]",3
323,"[4654, 4, 3103]",3
324,"[4, 3104, 1907]",0
325,"[1908, 6, 4655, 299, 2362]",3
326,"[1908, 136, 30, 268, 1167, 300, 2362]",3
327,"[1341, 131, 147, 3105, 0, 3106, 21, 1342]",3
328,"[224, 147, 3105, 0, 3106, 21, 1342]",3
329,"[32, 572, 297, 909, 3107, 29, 365]",3
330,"[32, 301, 266, 3107, 63, 365]",3
331,"[68, 161, 30, 197, 77]",3
332,"[68, 283, 30, 1168, 77]",3
333,"[68, 100, 30, 22, 46, 573]",3
334,"[1565, 30, 103]",0
335,"[1565, 148, 574]",0
336,"[32, 100, 30, 22, 46, 573]",3
337,"[32, 1566, 22, 46, 573]",3
338,"[32, 63, 1567, 30, 22, 46, 573]",3
339,"[108, 152, 30, 1567, 30, 1909]",3
340,"[32, 155, 30, 199, 30, 22, 46, 573]",3
341,"[32, 301, 22, 46, 573]",3
342,"[3108, 14, 22, 46, 1568]",3
343,"[808, 14, 30, 22, 46, 1568]",3
344,"[808, 14, 30, 22, 46, 1568]",0
345,"[7, 503, 384]",3
346,"[7, 530, 384]",0
347,"[7, 503, 384]",0
348,"[7, 21, 30, 530, 384]",3
349,"[7, 111, 5, 6, 1569]",0
350,"[1910, 4, 192, 105, 366, 4656, 200, 193]",3
351,"[223, 0, 1570, 615, 193]",3
352,"[7, 3109, 297, 109]",0
353,"[7, 297, 3109, 109]",3
354,"[56, 50, 12, 78, 18, 73, 7, 1169]",3
355,"[56, 21, 12, 426, 156, 18, 209, 890, 7, 1169]",0
356,"[56, 50, 12, 78, 5, 18, 73, 5, 7, 1169]",3
357,"[124, 50, 12, 117, 156, 18, 1028, 0, 1343]",0
358,"[124, 50, 12, 78, 5, 18, 1028, 0, 1343]",3
359,"[124, 50, 12, 117, 156, 7, 73, 5, 18, 1028, 0, 1343]",0
360,"[124, 50, 12, 117, 156, 7, 73, 18, 1028, 0, 1343]",0
361,"[83, 218, 50, 12, 117, 156, 7, 73, 5, 18, 4657]",0
362,"[124, 21, 12, 78, 5, 18, 1028, 0, 1343]",3
363,"[18, 1571, 2363]",3
364,"[4, 408, 5, 18, 1571, 2363]",3
365,"[4, 4658, 269, 18, 1571, 2363]",3
366,"[18, 676, 31, 79, 8, 95, 20, 910]",3
367,"[83, 79, 8, 95, 161, 18, 78, 5, 7, 73, 5, 164, 1169]",3
368,"[18, 160, 5, 7, 73, 5, 164, 136, 213, 8, 2364]",0
369,"[18, 160, 5, 7, 73, 5, 213, 8, 3110, 164, 1169]",3
370,"[249, 12, 145, 82, 677, 12, 17, 0, 4659]",3
371,"[4, 615, 60, 3, 4660, 9, 4661, 21, 3, 4662]",3
